context_type,difficulty,model_name,pref_group,filename,experiment_group,valid_samples,parse_success,parse_fail,parse_error_rate,domain_acc,domain_f1,slot_f1,slot_prec,slot_rec,pref_slot_f1,pref_slot_prec,pref_slot_rec,file_path
diag-apilist,easy,singleturn-query,Qwen_Qwen3-VL-8B-Instruct,1229_test_vllm_1.json,unknown,332,332,0,0.0,0.997,0.997,0.577,0.4742,0.7368,0.5776,0.475,0.7368,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/Qwen_Qwen3-VL-8B-Instruct/imp-zs/1229_test_vllm_1.json
diag-apilist,easy,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,1229_test_deepseek_integration.json,unknown,332,317,15,0.0452,0.9428,0.9646,0.4431,0.3217,0.7119,0.6817,0.6539,0.7119,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Llama-8B/imp-zs/1229_test_deepseek_integration.json
diag-apilist,easy,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,1229_test_deepseek_integration.json,unknown,332,162,170,0.512,0.4789,0.6437,0.2431,0.2149,0.2798,0.3762,0.5739,0.2798,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Qwen-7B/imp-zs/1229_test_deepseek_integration.json
diag-apilist,easy,singleturn-query,google_codegemma-7b-it,1229_test_vllm_1.json,unknown,332,329,3,0.009,0.9699,0.9743,0.2989,0.1931,0.662,0.6144,0.5731,0.662,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/google_codegemma-7b-it/imp-zs/1229_test_vllm_1.json
diag-apilist,easy,singleturn-query,google_gemma-3-12b-it,1229_test_vllm_1.json,unknown,332,332,0,0.0,1.0,1.0,0.119,0.1028,0.1413,0.2308,0.6296,0.1413,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/google_gemma-3-12b-it/imp-zs/1229_test_vllm_1.json
diag-apilist,easy,singleturn-query,gpt-4o-mini-2024-07-18,1229_test_1.json,unknown,332,332,0,0.0,1.0,1.0,0.6044,0.5009,0.7618,0.6044,0.5009,0.7618,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/gpt-4o-mini-2024-07-18/imp-zs/default/1229_test_1.json
diag-apilist,easy,singleturn-query,meta-llama_Llama-3.1-8B-Instruct,1229_test_vllm_1.json,unknown,332,332,0,0.0,0.997,0.997,0.4817,0.375,0.6731,0.5504,0.4655,0.6731,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/meta-llama_Llama-3.1-8B-Instruct/imp-zs/1229_test_vllm_1.json
diag-apilist,hard,singleturn-query,Qwen_Qwen3-VL-8B-Instruct,1229_test_vllm_1.json,unknown,472,472,0,0.0,1.0,1.0,0.1983,0.1495,0.2945,0.1983,0.1495,0.2945,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/Qwen_Qwen3-VL-8B-Instruct/imp-zs/1229_test_vllm_1.json
diag-apilist,hard,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,1229_test_deepseek_integration.json,unknown,472,437,35,0.0742,0.8559,0.8889,0.1121,0.0814,0.1801,0.1698,0.1607,0.1801,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Llama-8B/imp-zs/1229_test_deepseek_integration.json
diag-apilist,hard,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,1229_test_deepseek_integration.json,unknown,472,182,290,0.6144,0.3305,0.4771,0.0236,0.022,0.0254,0.0374,0.071,0.0254,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Qwen-7B/imp-zs/1229_test_deepseek_integration.json
diag-apilist,hard,singleturn-query,google_codegemma-7b-it,1229_test_vllm_1.json,unknown,472,446,26,0.0551,0.875,0.9022,0.0739,0.0492,0.1483,0.1357,0.125,0.1483,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/google_codegemma-7b-it/imp-zs/1229_test_vllm_1.json
diag-apilist,hard,singleturn-query,google_gemma-3-12b-it,1229_test_vllm_1.json,unknown,472,472,0,0.0,1.0,1.0,0.0218,0.0181,0.0275,0.0437,0.1057,0.0275,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/google_gemma-3-12b-it/imp-zs/1229_test_vllm_1.json
diag-apilist,hard,singleturn-query,gpt-4o-mini-2024-07-18,1229_test_1.json,unknown,472,472,0,0.0,0.9873,0.9873,0.2021,0.161,0.2712,0.2021,0.161,0.2712,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/gpt-4o-mini-2024-07-18/imp-zs/default/1229_test_1.json
diag-apilist,hard,singleturn-query,meta-llama_Llama-3.1-8B-Instruct,1229_test_vllm_1.json,unknown,472,472,0,0.0,0.9979,0.9979,0.3072,0.2266,0.4767,0.3268,0.2486,0.4767,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/meta-llama_Llama-3.1-8B-Instruct/imp-zs/1229_test_vllm_1.json
diag-apilist,medium,singleturn-query,Qwen_Qwen3-VL-8B-Instruct,1229_test_vllm_1.json,unknown,293,293,0,0.0,1.0,1.0,0.5111,0.3893,0.744,0.5111,0.3893,0.744,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/Qwen_Qwen3-VL-8B-Instruct/imp-zs/1229_test_vllm_1.json
diag-apilist,medium,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,1229_test_deepseek_integration.json,unknown,293,286,7,0.0239,0.9454,0.9568,0.372,0.2524,0.7065,0.575,0.4848,0.7065,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Llama-8B/imp-zs/1229_test_deepseek_integration.json
diag-apilist,medium,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,1229_test_deepseek_integration.json,unknown,293,81,212,0.7235,0.2457,0.385,0.1191,0.1223,0.116,0.1704,0.3208,0.116,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Qwen-7B/imp-zs/1229_test_deepseek_integration.json
diag-apilist,medium,singleturn-query,gemini-3-flash-preview,1229_test_1.json,unknown,293,293,0,0.0,1.0,1.0,0.5735,0.4432,0.8123,0.5742,0.444,0.8123,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/gemini-3-flash-preview/imp-zs/high/1229_test_1.json
diag-apilist,medium,singleturn-query,google_codegemma-7b-it,1229_test_vllm_1.json,unknown,293,278,15,0.0512,0.8976,0.9212,0.2036,0.1253,0.5427,0.4569,0.3945,0.5427,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/google_codegemma-7b-it/imp-zs/1229_test_vllm_1.json
diag-apilist,medium,singleturn-query,google_gemma-3-12b-it,1229_test_vllm_1.json,unknown,293,293,0,0.0,1.0,1.0,0.1427,0.1151,0.1877,0.2757,0.5189,0.1877,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/google_gemma-3-12b-it/imp-zs/1229_test_vllm_1.json
diag-apilist,medium,singleturn-query,gpt-4o-mini-2024-07-18,1229_test_1.json,unknown,293,293,0,0.0,0.9898,0.9898,0.5513,0.4239,0.7884,0.5513,0.4239,0.7884,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/gpt-4o-mini-2024-07-18/imp-zs/default/1229_test_1.json
diag-apilist,medium,singleturn-query,meta-llama_Llama-3.1-8B-Instruct,1229_test_vllm_1.json,unknown,293,293,0,0.0,1.0,1.0,0.5139,0.3683,0.8498,0.564,0.422,0.8498,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/meta-llama_Llama-3.1-8B-Instruct/imp-zs/1229_test_vllm_1.json
